"ID","fur","Date","Location","Size","decimalLatitude","decimalLongitude","Sex","Season","Region","analysisLab","coordinatePrecision"
"LSU.11594",-22,"183-1966","LA","",32.54,-93.39,"Male","Summer","","UWO",0.01
"LSU.11601",-24,"228-1966","LA","",30.41,-90.98,"Male","Summer","","UWO",0.01
"LSU.2494",-6,"285-1947","LA","",30.62,-91.23,"Male","Summer","","UWO",0.01
"LSU.9299",-23,"208-1962","LA","",30.62,-91.23,"Male","Summer","","UWO",0.01
"LSU.9300",-18,"215-1963","LA","",30.62,-91.23,"Male","Summer","","UWO",0.01
"MCZ.BANGS5596",-54,"224-1878","MA","",41.67,-70.25,"Female","Summer","","UWO",0.01
"CU.7869",-39,"217-1953","MA","",41.67,-70.25,"Male","Summer","","UWO",0.01
"CU.7870",-56,"217-1953","MA","",41.67,-70.25,"Male","Summer","","UWO",0.01
"MCZ.34553",-63,"284-1936","MA","",42.33,-73.25,"Male","Summer","","UWO",0.01
"MCZ.55622",-67,"258-1903","ME","",43.85,-70.33,"Female","Summer","","UWO",0.01
"MCZ.55624",-64,"177-1915","ME","",44.47,-69.77,"Female","Summer","","UWO",0.01
"MCZ.55625",-60,"177-1915","ME","",44.47,-69.77,"Female","Summer","","UWO",0.01
"MCZ.55627",-69,"152-1912","ME","",44.47,-69.77,"Female","Summer","","UWO",0.01
"MCZ.55628",-73,"182-1913","ME","",44.47,-69.77,"Female","Summer","","UWO",0.01
"MCZ.55629",-58,"240-1909","ME","",44.47,-69.77,"Female","Summer","","UWO",0.01
"MCZ.55630",-67,"178-1914","ME","",44.47,-69.77,"Female","Summer","","UWO",0.01
"MCZ.55623",-70,"252-1913","ME","",45.8,-69.3,"Male","Summer","","UWO",0.01
"MCZ.55626",-58,"182-1916","ME","",44.47,-69.77,"Male","Summer","","UWO",0.01
"MCZ.55631",-64,"182-1914","ME","",44.47,-69.77,"Male","Summer","","UWO",0.01
"MCZ.55633",-63,"255-1916","ME","",44.47,-69.77,"Male","Summer","","UWO",0.01
"LSU.11561",-30,"251-1966","MO","",36.88,-89.36,"Female","Summer","","UWO",0.01
"LSU.11589",-33,"219-1966","MS","",34.58,-88.15,"Female","Summer","","UWO",0.01
"LSU.11588",-28,"219-1966","MS","",34.58,-88.15,"Male","Summer","","UWO",0.01
"LSU.11590",-22,"215-1966","MS","",31.97,-89.54,"Male","Summer","","UWO",0.01
"CU.7833",-46,"205-1940","NJ","",40.83,-74.53,"Female","Summer","","UWO",0.01
"CU.7835",-50,"205-1940","NJ","",40.83,-74.53,"Female","Summer","","UWO",0.01
"CU.7836",-48,"183-1940","NJ","",40.83,-74.53,"Female","Summer","","UWO",0.01
"CU.7837",-44,"204-1940","NJ","",40.83,-74.53,"Female","Summer","","UWO",0.01
"CU.7838",-59,"204-1940","NJ","",40.83,-74.53,"Female","Summer","","UWO",0.01
"CU.7839",-43,"205-1940","NJ","",40.83,-74.53,"Female","Summer","","UWO",0.01
"CU.7841",-59,"205-1940","NJ","",40.83,-74.53,"Female","Summer","","UWO",0.01
"CU.7834",-31,"205-1940","NJ","",40.83,-74.53,"Male","Summer","","UWO",0.01
"CU.7840",-57,"205-1940","NJ","",40.83,-74.53,"Male","Summer","","UWO",0.01
"CU.9599",-73,"229-1953","NY","",42.25,-76.47,"Female","Summer","","UWO",0.01
"CU.9600",-65,"229-1953","NY","",44.1,-73.82,"Female","Summer","","UWO",0.01
"MCZ.41941",-72,"219-1896","NY","",42.25,-76.47,"Female","Summer","","UWO",0.01
"CU.12875",-85,"286-1967","NY","",42.73,-77.77,"Male","Summer","","UWO",0.01
"CU.7740",-68,"226-1953","NY","",44.05,-75.9,"Male","Summer","","UWO",0.01
"LSU.11562",-15,"204-1966","OK","",34.27,-95.16,"Female","Summer","","UWO",0.01
"LSU.11563",-31,"204-1966","OK","",34.27,-95.16,"Male","Summer","","UWO",0.01
"LSU.11566",-34,"205-1966","OK","",33.89,-94.64,"Male","Summer","","UWO",0.01
"ROM.24683",-61,"223-1931","PA","",40.37,-75.88,"Male","Summer","","UWO",0.01
"ROM.24684",-43,"228-1931","PA","",40.37,-78.28,"Male","Summer","","UWO",0.01
"LSU.19498",-42,"217-1950","TN","",36.07,-87.28,"Male","Summer","","UWO",0.01
"CU.591",-39,"278-1923","VA","",38.87,-78.6,"Female","Summer","","UWO",0.01
"MCZ.35435",-68,"285-1937","VT","",43.62,-73.02,"Male","Summer","","UWO",0.01
"MCZ.59114",-65,"279-1914","VT","",43.62,-73.02,"Male","Summer","","UWO",0.01
"CU.1078",-52,"222-1931","WV","",38.68,-79.35,"Male","Summer","","UWO",0.01
"CU.1082",-39,"187-1931","WV","",38.33,-81.57,"Male","Summer","","UWO",0.01
